assignment3_4_regions_10metrics_template,,,,,,,,,,,,
country,iso3,region,happy planet index.1 (2019),human development index.1 (2021),GDP per capita in $ (2021),Economic Growth (2021 or latest),Health expenditure % of GDP(2021 or latest),Health Expenditure per person (2019),infant mortality (2020),"education expenditure
% of GDP.2 (2021 or latest year)",Unemployment % (2021),CO2e emissions per capita (2019)
Denmark,DNK,,45.3,0.948,64651.2164467137,4.69343301735276,6.79277992248535,6003.32519531,27.9,,4.7979998588562,5.10798850907958
Djibouti,DJI,,,0.509,5925.79529621207,4.30966144579628,3.62773990631104,61.80943298,31.7,,28.3859996795654,0.431407700717039
Dominican Republic,DOM,,54.8,0.767,20769.1808196589,12.2719902266266,4.61870241165161,491.05935669,19.5,4.69630002975464,8.49600028991699,2.53562795178678
Ecuador,ECU,,58.8,0.74,11661.1931684907,4.23525124172572,4.13413000106812,486.49215698,16.6,4.13413000106812,6.42700004577637,2.26146981694915
Egypt,EGY,,43.2,0.731,13316.2449923351,3.3267420905086,2.48000001907349,149.84031677,3.05844048629935,2.48000001907349,9.32900047302246,2.48405991083232
El Salvador,SLV,,56.3,0.675,9668.72725607406,10.8008685930512,3.38515996932983,300.05328369,1.6,3.38515996932983,5.94000005722046,1.20863713626374
Equatorial Guinea,GNQ,,,0.596,18127.1864841393,-0.945391900179573,,254.89109802,3.6,,9.24499988555908,3.94548003191235
Eritrea,ERI,,,0.492,,,,25.2679348,2.7,,8.04699993133545,0.251635846107416
Estonia,EST,,34.4,0.89,42191.5144000302,8.34945362012054,5.2632098197937,1598.81884766,35.4,,6.33099985122681,7.67227790917304
Eswatini,SWZ,,35.3,0.597,9815.81225742683,7.42613228490497,4.99529790878296,264.05514526,,4.99529790878296,25.7560005187988,0.836140045223269
Ethiopia,ETH,,41.7,0.498,2599.73616529588,5.63730300819225,5.06867980957031,26.74220467,3.2244856014062,,3.69400000572205,0.16381342920099
Fiji,FJI,,,0.73,12059.7750268817,-4.08142494076485,5.06788015365601,235.67501831,3.4,5.06788015365601,5.23899984359741,1.83155327542587
Finland,FIN,,51.3,0.94,55006.6453072237,3.47454718099831,6.27542018890381,4450.30273438,23,,7.52500009536743,7.37285476082008
France,FRA,,51.8,0.903,50728.667429396,6.96357078755028,5.40716981887817,4491.73535156,,,8.0629997253418,4.46877008881409
Gabon,GAB,,39.9,0.706,15597.5210810635,1.50535940089038,3.18160939216614,215.01914978,3.6,3.18160939216614,22.2649993896484,2.41648401116093
"Gambia, The",GMB,,,0.5,2433.89839598928,5.62649914313542,2.76371717453003,29.72580338,51.4,2.76371717453003,11.2119998931885,0.247050718368434
Georgia,GEO,,44.3,0.802,16997.1489389764,10.3589426548453,3.85008001327515,291.12203979,33,3.85008001327515,10.6590003967285,2.71762422558518
Germany,DEU,,52.7,0.942,57927.5900741703,2.89260243321934,4.97576999664307,5440.25146484,47.2,,3.53500008583069,7.91162101567715
Ghana,GHA,,39.5,0.632,6178.28506549184,5.35647789699578,3.8861300945282,75.28166199,,,4.7039999961853,0.658823540945168
Greece,GRC,,48.8,0.887,31295.1453325019,8.33610201010661,3.59734010696411,1500.5949707,14.5,,14.7950000762939,5.59618906985928
Guatemala,GTM,,57.9,0.627,9769.23822653895,7.52762877577686,3.29972004890442,271.02127075,,3.29972004890442,3.57200002670288,1.16297092439764
Guinea,GIN,,38.1,0.465,2878.59305136851,3.12323000009609,2.19947004318237,43.03782272,34.7,2.19947004318237,6.34200000762939,0.30928854143783
Guinea-Bissau,GNB,,,0.483,2057.10000220704,3.80000242656607,2.7084276676178,62.57557678,58.3,2.7084276676178,6.75899982452393,0.171792957797251
Guyana,GUY,,,0.714,24493.714070261,19.927228866,4.45058012008667,325.88516235,4.1,,16.4249992370605,3.64089285507658
Haiti,HTI,,38.2,0.535,3127.41557125355,-1.79823988931486,1.63206994533539,56.99440002,3.4,,15.7259998321533,0.294768413969466
Honduras,HND,,57.7,0.621,6252.56913473546,12.5340960157739,6.4384388923645,187.55433655,45.6311357179348,6.4384388923645,8.51299953460693,1.04862299152317
Hungary,HUN,,45.4,0.846,65972.5583326576,7.09661223225682,4.62282991409302,1062.39416504,17.251109252423,,4.11600017547607,4.74663102989868
Iceland,ISL,,48,0.959,36752.5154278913,3.69979240070974,7.56170988082886,6274.95947266,2.9,,5.40100002288818,4.54844225751086
India,IND,,36.4,0.633,7333.505611842,8.94796266921514,4.47422981262207,63.74832153,,4.47422981262207,5.97800016403198,1.79762011876852
Indonesia,IDN,,49.6,0.705,12904.3350647553,3.69124011191289,2.84185004234314,120.12496185,42.6395771840764,2.84185004234314,4.41300010681152,2.2903971480842
Iran,IRN,,43.6,0.774,,1.76,3.59243011474609,470.43460083,21.3,3.59243011474609,11.4610004425049,7.59836484538996
Iraq,IRQ,,45.3,0.686,10408.9438771786,2.78333543533222,,253.31463623,1.5,,14.1920003890991,4.44062412949085
Ireland,IRL,,51.1,0.945,106455.753025944,13.4786580085837,3.39286994934082,5428.58886719,11.1,,6.63299989700317,7.24514322077522
Israel,ISR,,48.2,0.919,43721.6230389199,8.1880404589493,6.11233997344971,3456.38696289,2.5,,5.04500007629395,6.91959371834315
Italy,ITA,,50.7,0.895,45935.9965539678,6.64379018966193,4.25614023208618,2905.5,11.4,,9.83399963378906,5.31131544170879
Jamaica,JAM,,57.9,0.709,10025.9047946926,4.60000000000001,6.02747011184692,327.40353394,12.9,6.02747011184692,9.18200016021729,2.84573001224876
Japan,JPN,,47.1,0.925,42940.4052523244,1.62079552541303,3.07782006263733,4360.47363281,8.9,,2.79900002479553,8.54098020491546
Jordan,JOR,,43.9,0.72,10952.010609113,2.2097647710104,2.98847007751465,334.04421997,1.8,2.98847007751465,19.2520008087158,2.43820411172168
Kazakhstan,KAZ,,38.6,0.811,28599.9858781267,4.00000000008325,2.8569700717926,272.96524048,31.2,2.8569700717926,4.90000009536743,11.4569378323984
Kenya,KEN,,45.2,0.575,5023.51127180751,7.51735538703886,4.79903602600098,83.41162872,15.7,4.79903602600098,5.74200010299683,0.423783898343557
Korea (Dem. People’s Rep.),PRK,,,,,,12.3946599960327,,2.7,,2.59200000762939,2.18341993045969
Korea (Rep.),KOR,,39.8,0.925,,4.02115847345807,,2624.53320313,7.6,,3.53200006484985,11.7993253802233
Kosovo,-,,,,46918.4748224493,9.12757763607948,4.45807981491089,,45.7,,,
Kuwait,KWT,,33.3,0.831,,,6.55125999450684,1758.67419434,13.6717021875404,6.55125999450684,3.71399998664856,22.0224164011923
Kyrgyzstan,KGZ,,53.7,0.692,5287.79066976613,3.61061269547005,5.55267000198364,62.14477539,22,5.36674976348877,9.10400009155273,1.55664325620875
